processing_time,total_target_area,total_target_area_length,vert_count,test_type,output_prefix
0.00814295,561.241,370.862,258,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z3900
0.00704193,561.241,370.862,258,naive,1to3-splitter--rotated_outline_mesh0_z3900
0.0270431,584.265,410.096,293,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z4100
0.00595117,584.265,410.096,293,naive,1to3-splitter--rotated_outline_mesh0_z4100
0.0353551,632.819,511.844,358,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z4300
0.0123019,632.819,511.844,358,naive,1to3-splitter--rotated_outline_mesh0_z4300
0.0301428,747.708,525.039,460,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z4500
0.0192282,747.708,525.039,460,naive,1to3-splitter--rotated_outline_mesh0_z4500
0.048038,825.048,501.794,447,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z4700
0.0101068,825.048,501.794,447,naive,1to3-splitter--rotated_outline_mesh0_z4700
0.0372841,878.66,488.495,466,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z4900
0.0155501,878.66,488.495,466,naive,1to3-splitter--rotated_outline_mesh0_z4900
0.000510931,326.024,127.338,21,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z500
0.00431395,326.024,127.338,21,naive,1to3-splitter--rotated_outline_mesh0_z500
0.0498919,920.651,481.971,432,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z5100
0.031611,920.651,481.971,432,naive,1to3-splitter--rotated_outline_mesh0_z5100
0.0282829,955.296,477.373,401,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z5300
0.0296562,955.296,477.373,401,naive,1to3-splitter--rotated_outline_mesh0_z5300
0.0497699,984.846,474.094,411,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z5500
0.0327241,984.846,474.094,411,naive,1to3-splitter--rotated_outline_mesh0_z5500
0.0518541,1009.8,471.438,425,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z5700
0.0303771,1009.8,471.438,425,naive,1to3-splitter--rotated_outline_mesh0_z5700
0.0416729,937.741,664.208,408,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z5900
0.00764894,937.741,664.208,408,naive,1to3-splitter--rotated_outline_mesh0_z5900
0.0429649,846.685,653.345,396,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z6100
0.00884295,846.685,653.345,396,naive,1to3-splitter--rotated_outline_mesh0_z6100
0.0340431,801.192,646.537,388,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z6300
0.00570989,801.192,646.537,388,naive,1to3-splitter--rotated_outline_mesh0_z6300
0.0381191,770.814,641.367,375,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z6500
0.00785995,770.814,641.367,375,naive,1to3-splitter--rotated_outline_mesh0_z6500
0.0233209,749.268,637.361,337,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z6700
0.017962,749.268,637.361,337,naive,1to3-splitter--rotated_outline_mesh0_z6700
0.0294509,733.002,634.043,361,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z6900
0.0141001,733.002,634.043,361,naive,1to3-splitter--rotated_outline_mesh0_z6900
0.000643015,385.351,129.39,28,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z700
0.000329018,385.351,129.39,28,naive,1to3-splitter--rotated_outline_mesh0_z700
0.025187,721.221,631.436,336,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z7100
0.012008,721.221,631.436,336,naive,1to3-splitter--rotated_outline_mesh0_z7100
0.025177,712.044,629.556,332,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z7300
0.00442314,712.044,629.556,332,naive,1to3-splitter--rotated_outline_mesh0_z7300
0.0304029,706.217,628.089,333,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z7500
0.00771809,706.217,628.089,333,naive,1to3-splitter--rotated_outline_mesh0_z7500
0.0248799,701.92,627.062,334,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z7700
0.00484109,701.92,627.062,334,naive,1to3-splitter--rotated_outline_mesh0_z7700
0.035743,699.904,626.517,336,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z7900
0.0132821,699.904,626.517,336,naive,1to3-splitter--rotated_outline_mesh0_z7900
0.0454612,700.087,626.539,333,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z8100
0.00517106,700.087,626.539,333,naive,1to3-splitter--rotated_outline_mesh0_z8100
0.043962,702.004,627.07,334,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z8300
0.00516105,702.004,627.07,334,naive,1to3-splitter--rotated_outline_mesh0_z8300
0.0364239,706.231,628.083,336,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z8500
0.0117891,706.231,628.083,336,naive,1to3-splitter--rotated_outline_mesh0_z8500
0.0201061,712.324,629.572,334,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z8700
0.0124772,712.324,629.572,334,naive,1to3-splitter--rotated_outline_mesh0_z8700
0.0287259,721.261,631.453,355,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z8900
0.00947595,721.261,631.453,355,naive,1to3-splitter--rotated_outline_mesh0_z8900
0.000962973,436.022,131.276,26,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z900
